ID,species,year,month,season,x,y,z,location,round,snail_id,morph_sex_M_F_U,Ecotype,Incline,Aspect,Crevice,Barcle,Limpet,Littori_littorea,Littori_obtusata,Melaraphe,Dog_whelk,Top_shell,Mussel,Anemone,Crab,Fucoid_algae,Ulva,Lichen,Gibbula
NE_W2_405,arcana,2018,august,summer,2041.796,2015.021,1.035,W,2,405,U,W,-180,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE_W2_400,saxatilis,2018,august,summer,2043.418,2018.117,1.017,W,2,400,F,W,-180,NA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NE_W1_277,arcana,2018,april,spring,2043.68,2019.783,-1.265,W,1,277,F,W,-180,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE_W1_21,arcana,2018,april,spring,2046.829,2034.082,0.561,W,1,21,M,W,-180,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE_W2_368,arcana,2018,august,summer,2048.226,2035.533,-0.725,W,2,368,U,W,-90,90,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
NE_E1_51,arcana,2017,april,spring,2000.757,2034.968,199.639,E,1,51,F,W,-45,230,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE_E2_302,arcana,2017,july,summer,2001.571,2035.02,199.882,E,2,302,U,W,-45,230,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NE_E1_54,saxatilis,2017,april,spring,1999.315,2035.638,199.678,E,1,54,F,W,-45,270,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
NE_E1_350,arcana,2017,april,spring,1998.94,2035.655,199.961,E,1,350,F,W,-45,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE_E3_285,arcana,2017,october,winter,2002.47,2035.689,200.143,E,3,285,M,W,-45,340,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NE_E3_283,arcana,2017,october,winter,2002.466,2035.695,200.141,E,3,283,M,W,-45,340,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NE_E1_48,arcana,2017,april,spring,1998.915,2035.962,199.758,E,1,48,U,W,-45,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE_E2_140,arcana,2017,july,summer,2004.628,2036.225,199.626,E,2,140,F,W,-45,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE_E1_363,arcana,2017,april,spring,1998.413,2036.519,199.945,E,1,363,F,W,-45,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
NE_E3_299,arcana,2017,october,winter,1998.189,2036.57,200.106,E,3,299,U,W,-45,150,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NE_E1_365,arcana,2017,april,spring,1998.207,2036.707,200.553,E,1,365,M,W,-45,350,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NE_E1_61,saxatilis,2017,april,spring,2005.51,2036.726,198.868,E,1,61,M,W,-45,150,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
NE_E1_364,arcana,2017,april,spring,1998.343,2036.747,200.101,E,1,364,F,W,-45,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NE_E3_154,saxatilis,2017,october,winter,2013.146,2037.374,200.134,E,3,154,M,W,-45,150,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NE_E3_155,arcana,2017,october,winter,2013.147,2037.377,200.135,E,3,155,M,W,-45,150,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NE_E3_302,arcana,2017,october,winter,1998.837,2038.612,NA,E,3,302,U,W,-45,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE_E3_107,arcana,2017,october,winter,2013.884,2038.822,200.089,E,3,107,M,W,-45,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NE_E3_303,arcana,2017,october,winter,1999.138,2039.188,NA,E,3,303,U,W,-45,120,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NE_E3_305,arcana,2017,october,winter,1999.149,2039.193,NA,E,3,305,M,W,-45,150,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
NE_E3_304,arcana,2017,october,winter,1999.108,2039.303,NA,E,3,304,F,W,-45,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NE_E3_480,arcana,2017,october,winter,2003.832,2040.288,199.688,E,3,480,F,W,-45,220,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
